Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-1_S1-B6_1_6595.d	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-2_S1-C6_1_6596.d	\\mchampion-nas.esc.nd.edu\DATA\Simon\timsTOF_files\20230718-SMEG-6protMix-DIA\20230718-300Smeg_D_6protl-3_S1-D6_1_6597.d
A0A2U9PHN2;A0A653FQ11;A0QP00;I7FVT3;L0IQR8	A0A2U9PHN2;A0A653FQ11;A0QP00;I7FVT3;L0IQR8	A0A2U9PHN2_MYCSE;A0A653FQ11_MYCSM;A0QP00_MYCS2;I7FVT3_MYCS2;L0IQR8_9MYCO	BIN_B_05692;D806_002350;MSMEG_0223;MSMEI_0216;Mycsm_00109	TIGR04338 family metallohydrolase	45719.3	55738.1	57496.9
A0A2U9PHN3;A0A653FK08;A0QP22;I7G2Q8	A0A2U9PHN3;A0A653FK08;A0QP22;I7G2Q8	A0A2U9PHN3_MYCSE;A0A653FK08_MYCSM;A0QP22_MYCS2;I7G2Q8_MYCS2	D806_002570;MSMEG_0246;MSMEI_0238;prrB_2	histidine kinase	22330.1	21638.7	19714.6
A0A2U9PHN5;A0A8B4QK26;A0QP17;I7G2Q5	A0A2U9PHN5;A0A8B4QK26;A0QP17;I7G2Q5	A0A2U9PHN5_MYCSE;A0A8B4QK26_MYCSM;A0QP17_MYCS2;I7G2Q5_MYCS2	D806_002520;MSMEG_0240;MSMEI_0233;NCTC7017_01832	Transcriptional regulator	17372.9	16708	15854.8
A0A2U9PHN9;A0A653FPS2;A0QNY9;I7G1D3	A0A2U9PHN9;A0A653FPS2;A0QNY9;I7G1D3	A0A2U9PHN9_MYCSE;A0A653FPS2_MYCSM;A0QNY9_MYCS2;I7G1D3_MYCS2	BIN_B_05703;D806_002240;MSMEG_0212;MSMEI_0205	Lyase	23672.1	21818.2	24431.9
A0A2U9PHP0;A0A8B4QKG6;A0QP10;I7FVU1	A0A2U9PHP0;A0A8B4QKG6;A0QP10;I7FVU1	A0A2U9PHP0_MYCSE;A0A8B4QKG6_MYCSM;A0QP10_MYCS2;I7FVU1_MYCS2	D806_002460;MSMEG_0233;MSMEI_0226;NCTC7017_01839	Lipoprotein Lpps	209364	215375	214881
A0A2U9PHP1;A0A8B4QJX3;A0QNY6;I7FCP7	A0A2U9PHP1;A0A8B4QJX3;A0QNY6;I7FCP7	A0A2U9PHP1_MYCSE;A0A8B4QJX3_MYCSM;A0QNY6_MYCS2;I7FCP7_MYCS2	D806_002210;MSMEG_0209;MSMEI_0202;NCTC7017_01863	Ribonuclease inhibitor	19274.4	20830	18880.9
A0A2U9PHP8;A0A8B4QJR6;A0QP28;I7F527	A0A2U9PHP8;A0A8B4QJR6;A0QP28;I7F527	A0A2U9PHP8_MYCSE;A0A8B4QJR6_MYCSM;A0QP28_MYCS2;I7F527_MYCS2	D806_002630;MSMEG_0251;MSMEI_0244;NCTC7017_01821	NYN domain-containing protein	74109.6	77882.7	83305.9
A0A2U9PHQ1;A0A8B4QJW5;A0QNZ6;I7FCQ7	A0A2U9PHQ1;A0A8B4QJW5;A0QNZ6;I7FCQ7	A0A2U9PHQ1_MYCSE;A0A8B4QJW5_MYCSM;A0QNZ6_MYCS2;I7FCQ7_MYCS2	D806_002310;MSMEG_0219;sigG	RNA polymerase sigma factor	12024.9	14700.7	13060.1
A0A2U9PHQ2;A0A8B4QKF5;A0QP20;I7FVV1	A0A2U9PHQ2;A0A8B4QKF5;A0QP20;I7FVV1	A0A2U9PHQ2_MYCSE;A0A8B4QKF5_MYCSM;A0QP20_MYCS2;I7FVV1_MYCS2	D806_002550;MSMEG_0243;MSMEI_0236;NCTC7017_01829	Haemophore haem-binding domain-containing protein	39894.1	37827.3	35419.9
A0A2U9PHS2;A0A8B4QJU5;A0QP16;I7FCS7	A0A653FIJ0;A0A8B4QJU5;A0QP16;I7FCS7;A0A2U9PHS2	A0A2U9PHS2_MYCSE;A0A8B4QJU5_MYCSM;A0QP16_MYCS2;I7FCS7_MYCS2	D806_002510;MSMEG_0239;MSMEI_0232;mdeA	O-acetylhomoserine/O-acetylserine sulfhydrylase	73691	67662.4	64538.8
A0A2U9PHS4;A0A8B4QKC6;A0QP50;I7FVX9	A0A2U9PHS4;A0A8B4QKC6;A0QP50;I7FVX9	A0A2U9PHS4_MYCSE;A0A8B4QKC6_MYCSM;A0QP50_MYCS2;I7FVX9_MYCS2	D806_002970;MSMEG_0273;MSMEI_0266;eutN	Ethanolamine utilization protein EutN	17323.5	24354.8	18581.4
A0A2U9PHT2;A0A8B4QJT7;A0QP26;I7FCT7	A0A2U9PHT2;A0A8B4QJT7;A0QP26;I7FCT7	A0A2U9PHT2_MYCSE;A0A8B4QJT7_MYCSM;A0QP26_MYCS2;I7FCT7_MYCS2	D806_002610;MSMEG_0249;MSMEI_0242;yhhT	Integral membrane protein	17567.8	17143	17466.4
A0A2U9PHT7;A0A653FIA0;A0QP55;I7FVY3	A0A2U9PHT7;A0A653FIA0;A0QP55;I7FVY3	A0A2U9PHT7_MYCSE;A0A653FIA0_MYCSM;A0QP55_MYCS2;I7FVY3_MYCS2	D806_003020;MSMEG_0279;MSMEI_0271;yhdG_11	Amino acid permease		6633.1	7618.44
A0A2U9PHT8;A0A8B4QJM6;A0QP49;I7G1H3	A0A2U9PHT8;A0A8B4QJM6;A0QP49;I7G1H3	A0A2U9PHT8_MYCSE;A0A8B4QJM6_MYCSM;A0QP49_MYCS2;I7G1H3_MYCS2	D806_002960;MSMEG_0272;MSMEI_0265;pduA	Propanediol utilization protein PduA	104040	78868.5	67694.3
A0A2U9PHU0;A0A8B4QJP1;A0QP48;I7F546	A0A2U9PHU0;A0A8B4QJP1;A0QP48;I7F546	A0A2U9PHU0_MYCSE;A0A8B4QJP1_MYCSM;A0QP48_MYCS2;I7F546_MYCS2	D806_002950;MSMEG_0271;MSMEI_0264;NCTC7017_01801	BMC circularly permuted domain-containing protein	53196.1	52020.7	52600.7
A0A2U9PHU5;A0A8B4QJN0;A0QP73;I7F571	A0A2U9PHU5;A0A8B4QJN0;A0QP73;I7F571	A0A2U9PHU5_MYCSE;A0A8B4QJN0_MYCSM;A0QP73_MYCS2;I7F571_MYCS2	D806_003200;MSMEG_0296;MSMEI_0289;yusO_1	Transcriptional regulator, MarR family protein	16924.5	17036	18725.6
A0A2U9PHU6;A0A8B4QJY5;A0QP52;I7G2T1	A0A2U9PHU6;A0A8B4QJY5;A0QP52;I7G2T1	A0A2U9PHU6_MYCSE;A0A8B4QJY5_MYCSM;A0QP52_MYCS2;I7G2T1_MYCS2	D806_002990;MSMEG_0275;MSMEI_0268;NCTC7017_01797	Bacterial microcompartments protein family protein	50087.8	44861.2	38431
A0A2U9PHV0	A0A2U9PHV0;A0A8B4QJL5;A0QP59;I7G1H9	A0A2U9PHV0_MYCSE	D806_003060	Ethyl tert-butyl ether degradation protein EthD	22901.5	27533.1	25951.3
A0A2U9PHW8;A0A653FIC4;A0QP86;I7FCZ2	A0A2U9PHW8;A0A653FIC4;A0QP86;I7FCZ2	A0A2U9PHW8_MYCSE;A0A653FIC4_MYCSM;A0QP86_MYCS2;I7FCZ2_MYCS2	D806_003330;MSMEG_0309;MSMEI_0302;geoB	Aldehyde dehydrogenase family protein	47681.7	48368.4	50813.7
A0A2U9PHX3;A0A653FJU9;A0QP82;I7G2U7	A0A2U9PHX3;A0A653FJU9;A0QP82;I7G2U7	A0A2U9PHX3_MYCSE;A0A653FJU9_MYCSM;A0QP82_MYCS2;I7G2U7_MYCS2	BIN_B_03706;D806_003290;MSMEG_0305;MSMEI_0298	Acyltransferase domain protein	5790.75	8794.73	7764.65
A0A2U9PHX4;A0A8B4QK65;A0QP54;I7G1H6	A0A2U9PHX4;A0A8B4QK65;A0QP54;I7G1H6	A0A2U9PHX4_MYCSE;A0A8B4QK65_MYCSM;A0QP54_MYCS2;I7G1H6_MYCS2	D806_003010;MSMEG_0277;MSMEI_0270;patA	Putative aminotransferase	8512.6	9527.62	8954.79
A0A2U9PHX7;A0A653FIB6;A0QP95;I7FD02	A0A2U9PHX7;A0A653FIB6;A0QP95;I7FD02	A0A2U9PHX7_MYCSE;A0A653FIB6_MYCSM;A0QP95_MYCS2;I7FD02_MYCS2	D806_003430;MSMEG_0318;MSMEI_0312;baiB	AMP-dependent synthetase and ligase	16874.7	14556.4	14346.5
A0A2U9PHY3;A0A8B4QKA5;A0QPE4;I7FD59	A0A2U9PHY3;A0A8B4QKA5;A0QPE4;I7FD59	A0A2U9PHY3_MYCSE;A0A8B4QKA5_MYCSM;A0QPE4_MYCS2;I7FD59_MYCS2	D806_003600;MSMEG_0369;MSMEI_0362;NCTC7017_01704	DUF4194 domain-containing protein	69958	71330.2	73750.7
A0A2U9PHZ1;A0A653FI15;A0QP97;I7F598	A0A2U9PHZ1;A0A653FI15;A0QP97;I7F598	A0A2U9PHZ1_MYCSE;A0A653FI15_MYCSM;A0QP97_MYCS2;I7F598_MYCS2	BIN_B_03690;D806_003450;MSMEG_0321;MSMEI_0314	Transcriptional regulator	17195.6	17981.5	15038.9
A0A2U9PI00;A0A653FJS5;I7G2U9	A0A2U9PI00;A0A653FJS5;A4ZHU1;I7G2U9	A0A2U9PI00_MYCSE;A0A653FJS5_MYCSM;I7G2U9_MYCS2	BIN_B_03701;D806_003340;MSMEI_0303	Methyltransferase type 11 domain-containing protein	3119.83	3230.52	3318.81
A0A2U9PI05	A0A2U9PI05	A0A2U9PI05_MYCSE	D806_003730	Putative transport protein	2892.68		4531.56
A0A2U9PI10;A0A653FJR7;A0QP96;I7G2V4	A0A653FJR7;I7G2V4;A0A2U9PI10;A0QP96	A0A2U9PI10_MYCSE;A0A653FJR7_MYCSM;A0QP96_MYCS2;I7G2V4_MYCS2	D806_003440;MSMEG_0320;MSMEI_0313;opd	Putative phosphotriesterase	20907.5	19490.6	21423.8
A0A2U9PI11;A0A8B4QJE6;I7F5K5;Q3L889	A0A2U9PI11;A0A8B4QJE6;I7F5K5;Q3L889	A0A2U9PI11_MYCSE;A0A8B4QJE6_MYCSM;I7F5K5_MYCS2;Q3L889_MYCS2	D806_003900;sap	Sigma associated protein	6396.65	7168.21	7312.73
A0A2U9PI16;A0A653FIR1;A0QP93;I7G1K3	A0A2U9PI16;A0A653FIR1;A0QP93;I7G1K3	A0A2U9PI16_MYCSE;A0A653FIR1_MYCSM;A0QP93_MYCS2;I7G1K3_MYCS2	BIN_B_03694;D806_003410;MSMEG_0317;MSMEI_0310	Integral membrane protein	142520	136421	137729
A0A2U9PI18;A0A8B4QJD1;A0QPD8;I7FW66	A0A2U9PI18;A0A8B4QJD1;A0QPD8;I7FW66	A0A2U9PI18_MYCSE;A0A8B4QJD1_MYCSM;A0QPD8_MYCS2;I7FW66_MYCS2	D806_003540;MSMEG_0363;MSMEI_0356;fadR_2	TetR-family protein regulatory protein	46958.1	44029.2	40640.6
A0A2U9PI20;A0A653FPH5;A0QPI9;I7F5L4	A0A653FPH5;A0A2U9PI20;A0QPI9;I7F5L4	A0A2U9PI20_MYCSE;A0A653FPH5_MYCSM;A0QPI9_MYCS2;I7F5L4_MYCS2	D806_004000;MSMEG_0414;MSMEI_0404;efe_2	Oxidoreductase, 2OG-Fe(II) oxygenase family protein	9623.06	9602.3	9227.07
A0A2U9PI33;A0A8B4QJA5;A0QPJ7;I7FWD2	A0A2U9PI33;A0A8B4QJA5;A0QPJ7;I7FWD2	A0A2U9PI33_MYCSE;A0A8B4QJA5_MYCSM;A0QPJ7_MYCS2;I7FWD2_MYCS2	D806_004070;MSMEG_0422;MSMEI_0411;bcpA_1	Transferase	47473.1	51464	49914.2
A0A2U9PI39;A0A8B4QJ83;A0QPL1;I7G1U4	A0A2U9PI39;A0A8B4QJ83;A0QPL1;I7G1U4	A0A2U9PI39_MYCSE;A0A8B4QJ83_MYCSM;A0QPL1_MYCS2;I7G1U4_MYCS2	D806_004200;MSMEG_0436;MSMEI_0425;kipI	Allophanate hydrolase subunit 1	12122.3	11702.1	10301
A0A2U9PI49;A0A653FL88;A0QPM2;I7G1U9	A0A2U9PI49;A0A653FL88;A0QPM2;I7G1U9	A0A2U9PI49_MYCSE;A0A653FL88_MYCSM;A0QPM2_MYCS2;I7G1U9_MYCS2	D806_004300;MSMEG_0447;MSMEI_0435;ohrB	Uncharacterized protein	11326	9876.82	9989.87
A0A2U9PI54;A0A653FLH3;A0QPL0;I7F5N2	A0A2U9PI54;A0A653FLH3;A0QPL0;I7F5N2	A0A2U9PI54_MYCSE;A0A653FLH3_MYCSM;A0QPL0_MYCS2;I7F5N2_MYCS2	D806_004190;MSMEG_0435;MSMEI_0424;kipA_2	Allophanate hydrolase subunit 2	168452	167925	157080
A0A2U9PI55;A0A653FJP3;A0QPL3;I7FDD3	A0A2U9PI55;A0A653FJP3;A0QPL3;I7FDD3	A0A2U9PI55_MYCSE;A0A653FJP3_MYCSM;A0QPL3_MYCS2;I7FDD3_MYCS2	D806_004220;MSMEG_0438;MSMEI_0427;yhfQ	Periplasmic binding protein	30617	32024.2	32455.9
A0A2U9PI59;A0A653FJV8	A0A2U9PI59;A0A653FJV8	A0A2U9PI59_MYCSE;A0A653FJV8_MYCSM	BIN_B_04298;D806_004410	DNA topoisomerase (ATP-hydrolyzing)		6211.05	9088.77
A0A2U9PI63;A0A653FLI3;A0QPM1;I7F5P4	A0A2U9PI63;A0A653FLI3;A0QPM1;I7F5P4	A0A2U9PI63_MYCSE;A0A653FLI3_MYCSM;A0QPM1_MYCS2;I7F5P4_MYCS2	D806_004290;MSMEG_0446;MSMEI_0434;plaP_2	Putrescine importer	15884	15473.4	13822.3
A0A2U9PI72;A0A653FLG3;A0QPM7;I7F5P7	A0A2U9PI72;A0A653FLG3;A0QPM7;I7F5P7	A0A2U9PI72_MYCSE;A0A653FLG3_MYCSM;A0QPM7_MYCS2;I7F5P7_MYCS2	D806_004360;MSMEG_0452;MSMEI_0439;ygbN_3	Inner membrane permease YgbN	2532.51	3753.06	3551.07
A0A2U9PI81;A0A8B4QJL6;A0QPJ0;I7G1T4	A0A2U9PI81;A0A8B4QJL6;A0QPJ0;I7G1T4	A0A2U9PI81_MYCSE;A0A8B4QJL6_MYCSM;A0QPJ0_MYCS2;I7G1T4_MYCS2	D806_004010;MSMEG_0415;MSMEI_0405;hsaB_1	NADH-fmn oxidoreductase	318285	299935	288097
A0A2U9PI90;A0A653FJZ1;A0QPN0;I7FDE7	A0A2U9PI90;A0A653FJZ1;A0QPN0;I7FDE7	A0A2U9PI90_MYCSE;A0A653FJZ1_MYCSM;A0QPN0_MYCS2;I7FDE7_MYCS2	D806_004390;MSMEG_0455;MSMEI_0442;ald_4	Aldehyde dehydrogenase	69442.8	67054.6	65512.5
A0A2U9PIA2;A0A8B4QK61;A0QPK4;I7G378	A0A2U9PIA2;A0A8B4QK61;A0QPK4;I7G378	A0A2U9PIA2_MYCSE;A0A8B4QK61_MYCSM;A0QPK4_MYCS2;I7G378_MYCS2	D806_004140;MSMEG_0429;MSMEI_0418;NCTC7017_01647	Putative ferric uptake regulator	8343.5	8050.24	8178.86
A0A2U9PIA3	A0A2U9PIA3	A0A2U9PIA3_MYCSE	D806_004210	Probable queuosine precursor transporter	13411.5	16252.6	14802.5
A0A2U9PIB2;A0A653FLF4;A0QPL6;I7F5N8	A0A2U9PIB2;A0A653FLF4;A0QPL6;I7F5N8	A0A2U9PIB2_MYCSE;A0A653FLF4_MYCSM;A0QPL6_MYCS2;I7F5N8_MYCS2	BIN_B_04283;D806_004240;MSMEG_0441;MSMEI_0429	Mycothiol-dependent maleylpyruvate isomerase metal-binding domain-containing protein	263179	244028	227659
A0A2U9PIB3;A0A653FJQ3;A0QPM3;I7FWF1	A0A2U9PIB3;A0A653FJQ3;A0QPM3;I7FWF1	A0A2U9PIB3_MYCSE;A0A653FJQ3_MYCSM;A0QPM3_MYCS2;I7FWF1_MYCS2	D806_004310;MSMEG_0448;MSMEI_0436;ohrR_1	Transcriptional regulator, MarR family protein	17244.7	17310.4	16107.5
A0A2U9PIH8;A0A8B4QJY7;A0QPS8;I7FWI2	A0A2U9PIH8;A0A8B4QJY7;A0QPS8;I7FWI2	A0A2U9PIH8_MYCSE;A0A8B4QJY7_MYCSM;A0QPS8_MYCS2;I7FWI2_MYCS2	D806_005580;MSMEG_0504;MSMEI_0491;ydjH_1	Carbohydrate kinase	8317.13	8478.83	8653.39
A0A2U9PIJ4;A0A8B4QJ08;A0QPS6;I7F5U6	A0A2U9PIJ4;A0A8B4QJ08;A0QPS6;I7F5U6	A0A2U9PIJ4_MYCSE;A0A8B4QJ08_MYCSM;A0QPS6_MYCS2;I7F5U6_MYCS2	D806_005560;MSMEG_0502;MSMEI_0489;malH	Glucosidase	67358.7	63224.7	62288.6
A0A2U9PIJ6;A0A653FJV2;A0QPS7;I7G1X8	A0A2U9PIJ6;A0A653FJV2;A0QPS7;I7G1X8	A0A2U9PIJ6_MYCSE;A0A653FJV2_MYCSM;A0QPS7_MYCS2;I7G1X8_MYCS2	D806_005570;MSMEG_0503;MSMEI_0490;ulaR	DeoR-family protein transcriptional regulator	3908.71	3615.19	3643.07
A0A2U9PIJ8;A0A653FJZ3;A0QPU7;I7G1Y9	A0A2U9PIJ8;A0A653FJZ3;A0QPU7;I7G1Y9	A0A2U9PIJ8_MYCSE;A0A653FJZ3_MYCSM;A0QPU7_MYCS2;I7G1Y9_MYCS2	D806_005780;MSMEG_0524;MSMEI_0510;polS_2	Short chain dehydrogenase	12538.2	11390	12173.5
A0A2U9PIK5;A0A8B4QIY7;A0QPV5;I7FDL1	A0A2U9PIK5;A0A8B4QIY7;A0QPV5;I7FDL1	A0A2U9PIK5_MYCSE;A0A8B4QIY7_MYCSM;A0QPV5_MYCS2;I7FDL1_MYCS2	D806_005920;MSMEG_0532;MSMEI_0517;NCTC7017_01549	Transcriptional regulator, TetR family protein	150598	152354	152387
A0A2U9PIK8;A0A653FLK5;A0QPS9;I7FDJ1	A0A2U9PIK8;A0A653FLK5;A0QPS9;I7FDJ1	A0A2U9PIK8_MYCSE;A0A653FLK5_MYCSM;A0QPS9_MYCS2;I7FDJ1_MYCS2	D806_005590;MSMEG_0505;MSMEI_0492;msmE	Putative sugar ABC transporter, substrate-binding protein, putative	16647.4	18196.2	19319.4
A0A2U9PIN2;A0A8B4R2S4;A0QZR1;I7GBD5	A0A2U9PIN2;A0A8B4R2S4;A0QZR1;I7GBD5	A0A2U9PIN2_MYCSE;A0A8B4R2S4_MYCSM;A0QZR1_MYCS2;I7GBD5_MYCS2	D806_005970;MSMEG_4117;MSMEI_4018;kduD_1	2-deoxy-D-gluconate 3-dehydrogenase	17649.5	17677.6	14607.9
A0A2U9PIN5;A0A8B4R5D7;A0QZR0;I7FGD8	A0A8B4R5D7;A0A2U9PIN5;A0QZR0;I7FGD8	A0A2U9PIN5_MYCSE;A0A8B4R5D7_MYCSM;A0QZR0_MYCS2;I7FGD8_MYCS2	D806_005980;MSMEG_4116;MSMEI_4017;fadB2_2	3-hydroxybutyryl-CoA dehydrogenase	31789.2	33178.5	33156
A0A2U9PIN7;A0A653FLD3;A0QPS5;I7G3D4	A0A2U9PIN7;A0A653FLD3;A0QPS5;I7G3D4	A0A2U9PIN7_MYCSE;A0A653FLD3_MYCSM;A0QPS5_MYCS2;I7G3D4_MYCS2	D806_005550;MSMEG_0501;MSMEI_0488;nagB_2	Glucosamine-6-phosphate deaminase 1	3078.03	3300.31	2014.89
A0A2U9PIP0;A0A8B4QJU0;A0QPW2;I7F5Y3	A0A2U9PIP0;A0A8B4QJU0;A0QPW2;I7F5Y3	A0A2U9PIP0_MYCSE;A0A8B4QJU0_MYCSM;A0QPW2_MYCS2;I7F5Y3_MYCS2	D806_006150;MSMEG_0539;MSMEI_0524;crp_1	Transcriptional regulator, Crp/Fnr family protein	187486	185882	173325
A0A2U9PIP4;A0A653FJY5;A0QPW6;I7G3G6	A0A2U9PIP4;A0A653FJY5;A0QPW6;I7G3G6	A0A2U9PIP4_MYCSE;A0A653FJY5_MYCSM;A0QPW6_MYCS2;I7G3G6_MYCS2	D806_006190;MSMEG_0544;MSMEI_0528;cysL_1	Transcriptional regulator	21019.1	21459.1	21893.1
A0A2U9PIP7;A0A653FLP7;A0QPW9;I7FWK6	A0A2U9PIP7;A0A653FLP7;A0QPW9;I7FWK6	A0A2U9PIP7_MYCSE;A0A653FLP7_MYCSM;A0QPW9_MYCS2;I7FWK6_MYCS2	D806_006220;MSMEG_0546;MSMEI_0531;ubiG	Methyltransferase domain-containing protein	16566.4	19296.3	19210.7
A0A2U9PIQ0;A0A653FCH7;A0QPX3;I7G200	A0A2U9PIQ0;A0A653FCH7;A0QPX3;I7G200	A0A2U9PIQ0_MYCSE;A0A653FCH7_MYCSM;A0QPX3_MYCS2;I7G200_MYCS2	D806_006250;MSMEG_0550;MSMEI_0535;ssuA_3	Sulfonate binding protein	30655.8	29627.6	30093.5
A0A2U9PIQ4;A0A653FK03;A0QPV8;I7G1Z3	A0A2U9PIQ4;A0A653FK03;A0QPV8;I7G1Z3	A0A2U9PIQ4_MYCSE;A0A653FK03_MYCSM;A0QPV8_MYCS2;I7G1Z3_MYCS2	D806_006110;MSMEG_0535;MSMEI_0520;ydfH_7	GntR-family protein transcriptional regulator	54121.7	55507.5	58219.1
A0A2U9PIQ5;A0A8B4QIW6;A0QPX5;I7FDM7	A0A2U9PIQ5;A0A8B4QIW6;A0QPX5;I7FDM7	A0A2U9PIQ5_MYCSE;A0A8B4QIW6_MYCSM;A0QPX5_MYCS2;I7FDM7_MYCS2	D806_006270;MSMEG_0552;MSMEI_0537;NCTC7017_01529	OsmC-like protein	21587.4	23843.3	26782
A0A2U9PIQ9;A0A8B4QJS2;A0QPY2;I7F603	A0A2U9PIQ9;A0A8B4QJS2;A0QPY2;I7F603	A0A2U9PIQ9_MYCSE;A0A8B4QJS2_MYCSM;A0QPY2_MYCS2;I7F603_MYCS2	D806_006340;MSMEG_0559;cspA;cspA_1	CSD domain-containing protein	194559	178237	182920
A0A2U9PIR6;A0A653FCD6;A0QPY5;I7FDN6	A0A2U9PIR6;A0A653FCD6;A0QPY5;I7FDN6	A0A2U9PIR6_MYCSE;A0A653FCD6_MYCSM;A0QPY5_MYCS2;I7FDN6_MYCS2	BIN_B_01705;D806_006370;MSMEG_0563;MSMEI_0547	Uncharacterized protein	9635.52	10230.7	13824.3
A0A2U9PIR7;A0A8B4QJJ1;A0QPY7;I7F607	A0A2U9PIR7;A0A8B4QJJ1;A0QPY7;I7F607	A0A2U9PIR7_MYCSE;A0A8B4QJJ1_MYCSM;A0QPY7_MYCS2;I7F607_MYCS2	D806_006390;MSMEG_0564;MSMEI_0549;pbuG	Xanthine/uracil permease	96747.8	94813.2	95749.8
A0A2U9PIS4;A0A653FEB0;A0QPY6;I7G3I2	A0A2U9PIS4;A0A653FEB0;A0QPY6;I7G3I2	A0A2U9PIS4_MYCSE;A0A653FEB0_MYCSM;A0QPY6_MYCS2;I7G3I2_MYCS2	D806_006380;MSMEG_0562;MSMEI_0548;yedI	ABC transporter	39734	43383.5	40337.9
A0A2U9PIS7;A0A653FE90;A0QQ02;I7F623	A0A2U9PIS7;A0A653FE90;A0QQ02;I7F623	A0A2U9PIS7_MYCSE;A0A653FE90_MYCSM;A0QQ02_MYCS2;I7F623_MYCS2	BIN_B_01722;D806_006540;MSMEG_0580;MSMEI_0564	Acyl-CoA thioesterase	79464.8	70125.6	70789.2
A0A2U9PIT0;A0A653FCY7;A0QPY9;I7FWL8	A0A2U9PIT0;A0A653FCY7;A0QPY9;I7FWL8	A0A2U9PIT0_MYCSE;A0A653FCY7_MYCSM;A0QPY9_MYCS2;I7FWL8_MYCS2	D806_006410;MSMEG_0566;MSMEI_0551;ramA_3	Aliphatic amidase	35625.4	39509.4	37207.1
A0A2U9PIT2;A0A8B4QJT0;A0QPY8;I7G210	A0A2U9PIT2;A0A8B4QJT0;A0QPY8;I7G210	A0A2U9PIT2_MYCSE;A0A8B4QJT0_MYCSM;A0QPY8_MYCS2;I7G210_MYCS2	D806_006400;MSMEG_0565;MSMEI_0550;NCTC7017_01516	Putative glycosyl transferases group 1	10791.8	9751.81	11262.2
A0A2U9PIT4;A0A8B4QIT6;A0QQ05;I7FDQ7	A0A2U9PIT4;A0A8B4QIT6;A0QQ05;I7FDQ7	A0A2U9PIT4_MYCSE;A0A8B4QIT6_MYCSM;A0QQ05_MYCS2;I7FDQ7_MYCS2	D806_006570;MSMEG_0582;MSMEI_0567;gabD_2	Succinic semialdehyde dehydrogenase	18973.2	20720.1	21880.1
A0A2U9PIT6;A0A8B4QJP4;A0QQ13;I7F633	A0A2U9PIT6;A0A8B4QJP4;A0QQ13;I7F633	A0A2U9PIT6_MYCSE;A0A8B4QJP4_MYCSM;A0QQ13_MYCS2;I7F633_MYCS2	D806_006640;MSMEI_0574;rhaD	Rhamnulose-1-phosphate aldolase/alcohol dehydrogenase	5209.2	4631.5	4337.91
A0A2U9PIU4;A0A8B4QJ01;A0QPW0;I7FDL5	A0A2U9PIU4;A0A2U9PPJ6;A0A653FP36;A0A8B4QJ01;A0QPW0;A0QVU4;I7FDL5;I7G960;L0IY40	A0A2U9PIU4_MYCSE;A0A8B4QJ01_MYCSM;A0QPW0_MYCS2;I7FDL5_MYCS2	D806_006130;MSMEG_0537;MSMEI_0522;NCTC7017_01544	DUF5313 domain-containing protein	542254	524206	545390
A0A2U9PIU5;A0A8B4QJN4;A0QQ23;I7F643	A0A2U9PIU5;A0A8B4QJN4;A0QQ23;I7F643	A0A2U9PIU5_MYCSE;A0A8B4QJN4_MYCSM;A0QQ23_MYCS2;I7F643_MYCS2	D806_006740;MSMEG_0600;MSMEI_0584;bdhA_2	Dehydrogenase	1931.1	2405.64	1940.26
A0A2U9PIU8;A0A8B4QIT0;A0QQ21;I7FDS0	A0A2U9PIU8;A0A8B4QIT0;A0QQ21;I7FDS0	A0A2U9PIU8_MYCSE;A0A8B4QIT0_MYCSM;A0QQ21_MYCS2;I7FDS0_MYCS2	D806_006720;MSMEG_0597;MSMEI_0582;NCTC7017_01484	DNA polymerase domain-containing protein	3644.6	6166.71	2792.3
A0A2U9PIV0;A0A8B4QJF7;A0QQ18;I7F638	A0A2U9PIV0;A0A8B4QJF7;A0QQ18;I7F638	A0A2U9PIV0_MYCSE;A0A8B4QJF7_MYCSM;A0QQ18_MYCS2;I7F638_MYCS2	D806_006690;MSMEG_0595;MSMEI_0579;lutA	Glycolate oxidase	45450.9	51369.4	53633.9
A0A2U9PIV1;A0A8B4QJR2;I7G221	A0A2U9PIV1;A0A8B4QJR2;I7G221	A0A2U9PIV1_MYCSE;A0A8B4QJR2_MYCSM;I7G221_MYCS2	D806_006600;MSMEI_0570;NCTC7017_01496	Stas domain, putative	8521.42	6394.32	7086.65
A0A2U9PIV3;A0A653FK99;A0QPX0;I7FDM3	A0A2U9PIV3;A0A653FK99;A0QPX0;I7FDM3	A0A2U9PIV3_MYCSE;A0A653FK99_MYCSM;A0QPX0_MYCS2;I7FDM3_MYCS2	BIN_B_04385;D806_006230;MSMEG_0548;MSMEI_0532	Chromosome replication initiation inhibitor protein	9458.24	11209.6	10589.1
